Emittent;BaFin-ID;ISIN;Meldepflichtiger;Position / Status;Art des Instruments;Art des Geschäfts;Durchschnittspreis;Aggregiertes Volumen;Mitteilungsdatum;Datum des Geschäfts;Ort des Geschäfts;Datum der Aktivierung
ENCAVIS AG;20000258;DE0006095003;Husmann, Dr. Christoph;Vorstand;Aktie;Kauf;14,26 EUR;28.520,00 EUR;29.03.2023;29.03.2023;XETRA;29.03.2023 15:52:03
ENCAVIS AG;20000258;DE0006095003;Husmann, Dr. Christoph;Vorstand;Aktie;Kauf;14,54 EUR;21.591,32 EUR;29.03.2023;29.03.2023;XETRA;29.03.2023 15:52:03
ENCAVIS AG;20000258;DE0006095003;Husmann, Dr. Christoph;Vorstand;Aktie;Kauf;14,53 EUR;21.800,70 EUR;29.03.2023;29.03.2023;XETRA;29.03.2023 15:52:03
LEG Immobilien SE;40019594;DE000LEG1110;von Lackum, Lars;Vorstand;Aktie;Kauf;49,03 EUR;98.056,00 EUR;30.03.2023;29.03.2023;Tradegate;30.03.2023 14:01:01
aap Implantate AG;40001831;DE000A3H2101;Hahn, Marek;Vorstand;Aktie;Sonstiges;1,40 EUR;52.920,00 EUR;30.03.2023;29.03.2023;;30.03.2023 13:49:39
aap Implantate AG;40001831;DE000A3H2101;di Girolamo, Rubino;Vorstand;Aktie;Sonstiges;1,40 EUR;83.743,80 EUR;30.03.2023;29.03.2023;;30.03.2023 13:49:39
aap Implantate AG;40001831;DE000A3H2101;Mierzejewska, Agnieszka;Vorstand;Aktie;Sonstiges;1,40 EUR;26.800,20 EUR;30.03.2023;29.03.2023;;30.03.2023 13:43:39
GRENKE AG;40002178;DE000A161N30;Christ, Gilles;Vorstand;Aktie;Kauf;24,20 EUR;9.680,00 EUR;30.03.2023;29.03.2023;Xetra;30.03.2023 13:37:18
ENCAVIS AG;20000258;DE0006095003;Schmitz, Dr. Rolf Martin;Aufsichtsrat;Aktie;Kauf;14,40 EUR;10.083,50 EUR;30.03.2023;29.03.2023;Tradegate;30.03.2023 13:37:18
ENCAVIS AG;20000258;DE0006095003;Schmitz, Dr. Rolf Martin;Aufsichtsrat;Aktie;Kauf;14,50 EUR;189.950,00 EUR;30.03.2023;29.03.2023;Tradegate;30.03.2023 13:37:18
aap Implantate AG;40001831;DE000A3H2101;Merval AG;in enger Beziehung;Aktie;Sonstiges;1,40 EUR;140.000,00 EUR;30.03.2023;29.03.2023;;30.03.2023 13:43:39
ENCAVIS AG;20000258;DE0006095003;ABACON CAPITAL GmbH;in enger Beziehung;Aktie;Kauf;14,77 EUR;1.476.981,61 EUR;30.03.2023;29.03.2023;XETRA;30.03.2023 13:37:18
