Emittent;BaFin-ID;ISIN;Meldepflichtiger;Position / Status;Art des Instruments;Art des Geschäfts;Durchschnittspreis;Aggregiertes Volumen;Mitteilungsdatum;Datum des Geschäfts;Ort des Geschäfts;Datum der Aktivierung
TeamViewer AG;40029194;DE000A2YN900;Steil, Oliver;Vorstand;Aktie;Sonstiges;14,21 EUR;284.150,64 EUR;14.03.2023;13.03.2023;;14.03.2023 16:10:47
TeamViewer AG;40029194;DE000A2YN900;Steil, Oliver;Vorstand;Aktie;Sonstiges;14,66 EUR;733.018,65 EUR;14.03.2023;13.03.2023;;14.03.2023 16:05:27
Stabilus SE;40022271;DE000STAB1L8;Büchsner, Dr. Michael;Vorstand;Aktie;Kauf;59,36 EUR;29.680,00 EUR;14.03.2023;13.03.2023;XETRA;14.03.2023 14:31:33
STRATEC SE;40001599;DE000STRA555;Wolfinger, Marcus;Vorstand;Aktie;Kauf;66,60 EUR;14.652,00 EUR;13.03.2023;13.03.2023;QUOTRIX;13.03.2023 13:17:58
METRO AG;40025939;DE000BFB0019;Greubel, Dr. Steffen;Vorstand;Aktie;Kauf;7,97 EUR;119.625,00 EUR;10.03.2023;10.03.2023;Unicredit Bank AG;13.03.2023 09:34:32
LEG Immobilien SE;40019594;DE000LEG1110;Wiegel, Dr. Volker;Vorstand;Aktie;Kauf;58,82 EUR;41.174,00 EUR;10.03.2023;10.03.2023;Xetra;13.03.2023 09:34:32
STRATEC SE;40001599;DE000STRA555;Wolfinger, Marcus;Vorstand;Aktie;Kauf;68,70 EUR;13.740,00 EUR;10.03.2023;10.03.2023;QUOTRIX;13.03.2023 09:23:03
HUGO BOSS AG;40000943;DE000A1PHFF7;Müller, Yves Marc;Vorstand;Aktie;Kauf;60,44 EUR;60.440,00 EUR;13.03.2023;10.03.2023;XETRA;13.03.2023 10:04:45
KION GROUP AG;40020514;DE000KGX8881;Dandashly, Hasan;Vorstand;Aktie;Kauf;33,79 EUR;101.367,94 EUR;13.03.2023;10.03.2023;;13.03.2023 15:21:53
LEG Immobilien SE;40019594;DE000LEG1110;von Lackum, Lars;Vorstand;Aktie;Kauf;59,50 EUR;41.650,00 EUR;13.03.2023;10.03.2023;Tradegate;13.03.2023 11:44:33
